0,1,x,y,cluster,label,gray
-4.068425,-1.621439,295,83,0,0,71
-3.9375577,-1.2720311,501,83,0,0,67
-3.7188673,0.22139652,858,83,0,0,73
-3.6113553,-1.4921396,141,84,0,0,86
-4.272339,-1.6520071,396,84,0,0,78
-3.8195107,-0.7420113,601,84,0,0,78
-3.7702663,0.21105544,658,84,0,0,81
-4.0452666,0.712903,808,84,0,0,71
-3.1132815,-1.3753296,443,85,0,0,71
-6.512809,-1.2260277,346,86,0,0,67
-4.468473,1.3319986,912,86,0,0,86
-6.7908263,-0.47456762,551,87,0,0,73
-4.37291,1.2389051,756,87,0,0,77
-6.913046,-1.1584966,91,88,0,0,65
-4.9418354,-0.8961816,243,88,0,0,70
5.8466134,8.482274,193,90,3,0,209
8.361758,3.9893556,731,99,1,0,156
10.292834,-1.6705236,629,100,2,0,156
10.752312,-3.5522625,321,101,2,0,147
10.989398,-3.503734,371,101,2,0,147
10.895114,-3.123067,526,101,2,0,145
8.777649,4.3614564,578,101,1,0,150
8.100723,5.145959,784,101,1,0,162
10.657749,-0.6722139,885,101,2,0,158
11.051898,-3.8412704,421,102,2,0,129
10.426449,-1.1873236,681,102,2,0,163
9.850122,1.1275561,833,102,2,0,167
8.023283,5.912412,937,102,1,0,169
10.8814,-3.7617147,115,103,2,0,144
8.644315,5.8485885,168,103,1,0,148
10.699712,-3.443275,270,103,2,0,140
8.490277,6.2478166,218,104,1,0,142
10.561602,-3.4462934,474,104,2,0,140
11.252337,-3.1035185,65,105,2,0,120
-3.4325802,-1.18906,528,128,0,0,75
-3.8195682,-1.3090844,680,128,0,0,65
6.2737923,7.190615,731,128,3,0,149
-4.427336,-1.8095188,478,130,0,0,66
6.1955857,7.0558257,834,130,3,0,132
-6.4453564,-1.4016886,372,131,0,0,79
-6.006321,-1.5625749,268,132,0,0,71
-6.62641,-1.1072971,320,132,0,0,68
5.9105587,8.418155,577,132,3,0,209
-7.2239323,-0.53871745,630,132,0,0,74
-3.7026005,0.17084354,935,132,0,0,77
-6.9967966,-0.2805469,169,134,0,0,66
5.9253407,8.998651,782,134,3,0,222
-5.315172,1.1110935,887,134,0,0,94
-6.2208314,-0.5539764,115,135,0,0,73
-5.9783363,-1.2980134,423,135,0,0,66
-4.390615,-0.5078908,67,138,0,0,77
9.124581,2.275098,708,145,1,0,151
10.747236,-3.8762217,245,146,2,0,138
8.931357,4.754806,294,146,1,0,158
10.985377,-3.6320086,397,146,2,0,143
10.514521,-3.2757149,449,146,2,0,149
7.465705,5.6101494,550,146,1,0,152
8.480511,6.2489734,602,146,1,0,153
10.571767,-3.4843338,193,147,2,0,156
10.893142,-3.524144,345,147,2,0,146
10.791006,-4.1334095,498,148,2,0,127
7.4927025,5.9531007,758,148,1,0,159
7.637639,6.258087,808,148,1,0,148
6.3526497,6.9095926,861,148,3,0,155
10.138789,-0.9521268,913,148,2,0,172
10.31915,-1.334642,90,149,2,0,157
10.764519,-4.0974665,653,149,2,0,129
11.004857,-1.3614281,141,150,2,0,148
-3.2164216,-1.3882346,703,173,0,0,62
6.747519,8.891423,294,174,3,0,197
-7.1421356,-0.95053566,656,177,0,0,78
-3.9066148,0.7497149,140,178,0,0,91
-5.845693,-1.4706408,243,178,0,0,77
-6.254718,-1.4800427,395,178,0,0,67
-4.8965178,0.9802836,757,178,0,0,75
-7.0282507,-0.4856503,195,179,0,0,72
-4.758972,1.3293188,810,179,0,0,89
-4.3939013,-1.4941984,446,180,0,0,70
-6.263676,-1.0396078,500,180,0,0,62
5.9914036,8.544179,549,180,3,0,210
-4.9341345,-1.0844167,911,180,0,0,76
-4.6387725,-0.8447018,601,181,0,0,76
5.89585,8.617988,861,181,3,0,218
8.528856,6.3236556,527,191,1,0,139
10.899399,-3.9494693,680,191,2,0,143
8.863224,4.4173255,730,191,1,0,165
8.606731,4.02464,220,192,1,0,136
10.949635,-3.0320485,422,192,2,0,136
8.939806,4.878191,474,192,1,0,149
10.46055,-3.3146834,370,193,2,0,143
10.021334,0.19438776,783,193,2,0,148
8.47249,5.8757744,834,193,1,0,157
10.40391,-1.3923044,938,193,2,0,161
10.308975,0.5079735,115,194,2,0,145
10.454763,0.29711372,168,194,2,0,143
8.763976,4.04531,270,194,1,0,135
8.749554,5.389013,319,194,1,0,141
8.701962,4.599063,578,194,1,0,148
11.413849,-2.8606412,629,194,2,0,145
8.36299,6.236249,886,194,1,0,156
-4.5532346,-0.91704756,627,220,0,0,70
-4.507633,-1.3833939,678,220,0,0,74
-4.442659,-0.43469092,836,220,0,0,63
-3.676683,0.43220392,167,221,0,0,82
-6.4488683,-1.4224329,423,221,0,0,87
6.5887966,8.972567,472,221,3,0,211
-4.0510936,1.052029,67,222,0,0,72
5.8972125,8.562987,731,222,3,0,222
-4.8722167,-0.035336126,786,222,0,0,79
-5.1389627,0.38823763,938,222,0,0,76
-6.296166,-0.48793748,269,223,0,0,72
-4.215021,-1.4249958,325,223,0,0,74
-4.8725224,0.8026522,888,223,0,0,79
5.920402,8.34062,220,224,3,0,204
-5.517806,-1.4700305,524,224,0,0,74
-5.086293,-0.7524539,576,226,0,0,64
-4.255839,1.131544,118,227,0,0,76
10.598133,-2.3333728,653,236,2,0,157
7.5596642,6.0018454,244,237,1,0,153
10.5022545,-2.3088784,294,237,2,0,165
8.535833,5.766948,706,237,1,0,154
8.283299,6.137899,757,237,1,0,158
10.984691,-1.9367783,809,237,2,0,154
10.320815,0.47931474,91,238,2,0,138
10.760318,-3.2824872,346,238,2,0,148
10.519156,-2.5413172,551,238,2,0,155
8.754272,5.9408283,602,238,1,0,141
10.326626,-2.034728,859,238,2,0,151
7.9730887,5.182178,193,239,1,0,160
8.685758,5.9124413,449,239,1,0,147
11.103298,-1.4291823,913,239,2,0,160
8.514669,4.6763916,501,240,1,0,152
10.348825,0.40139392,141,241,2,0,140
10.8383465,-3.2995183,397,241,2,0,149
6.716679,8.975644,242,264,3,0,168
6.408324,9.245669,602,264,3,0,218
-6.1052113,-0.629909,449,267,0,0,65
-5.050644,-0.47538018,500,267,0,0,83
-5.161233,0.4852508,807,267,0,0,86
-4.065399,0.45376822,911,267,0,0,85
-6.6135836,-1.1723602,296,268,0,0,69
-6.6587133,-1.0318444,347,268,0,0,65
-6.4968185,-1.0294757,552,268,0,0,74
-5.6871486,0.36682597,758,268,0,0,76
-7.0212173,-0.19177304,705,269,0,0,79
-6.8060665,-0.6091659,860,269,0,0,80
-4.2417154,0.94978416,95,270,0,0,76
-6.579057,-0.99649465,397,271,0,0,57
-3.879233,0.9022313,190,272,0,0,91
-3.510979,-0.9456332,651,272,0,0,72
10.802017,-0.95538133,781,281,2,0,164
10.776209,-1.8388494,833,281,2,0,142
10.353137,0.40987697,67,282,2,0,139
10.88631,-1.185931,117,282,2,0,137
10.798658,-3.812161,321,282,2,0,151
8.921376,4.0675573,527,282,1,0,157
7.4296274,6.4188747,628,282,1,0,143
10.70037,-1.7522241,729,282,2,0,147
