0,1,x,y,cluster,label,gray
9.23949,-2.9832902,478,75,2,0,150
9.246826,0.88522667,890,75,2,0,164
8.878347,-2.5874588,375,76,2,0,156
7.4776187,5.519124,784,76,0,0,177
9.20189,-2.633206,325,77,2,0,145
8.752839,-2.7735856,428,77,2,0,145
9.528943,-3.2819405,530,77,2,0,161
7.52654,5.3349013,838,78,0,0,149
8.1299,4.4994164,940,78,0,0,161
6.162763,10.900301,172,79,3,0,255
6.1269603,10.733249,275,79,3,0,255
6.1854215,10.881667,578,79,3,0,255
9.881045,-2.9258194,634,79,2,0,155
10.08871,-2.4443278,735,79,2,0,158
9.270713,-1.4261833,224,80,2,0,164
9.701467,-2.2342176,681,80,2,0,165
9.087529,-1.9229904,68,82,2,0,165
-4.1286697,-1.6620976,455,87,1,0,74
-4.863947,-1.8967874,404,89,1,0,75
-3.6239057,1.9024493,605,91,1,0,87
-5.924327,0.10304222,864,91,1,0,75
-4.584373,-0.87604344,661,93,1,0,64
6.0514417,8.417619,810,93,3,0,215
-6.1735806,-0.10913514,914,93,1,0,80
-4.0379033,1.7076828,199,95,1,0,79
-3.8254714,-1.2658905,351,96,1,0,84
-3.2658834,-0.62352276,704,97,1,0,76
6.2251167,9.202043,125,101,3,0,255
-2.6275175,-0.7816533,780,112,1,0,71
10.910783,-2.3076262,349,120,2,0,167
9.981758,-2.4084442,503,120,2,0,176
9.177624,-1.0718311,603,120,2,0,150
9.840037,-2.972516,401,121,2,0,164
9.127213,-2.6091459,453,121,2,0,168
9.553266,-2.0665362,655,121,2,0,149
9.922692,-2.6311934,706,121,2,0,175
9.200489,-0.6050193,197,122,2,0,158
8.949178,3.608565,862,122,0,0,163
6.159535,10.919709,247,123,3,0,255
6.2186985,10.875064,554,123,3,0,255
8.8315935,4.550429,757,123,0,0,144
10.957328,-1.6632649,915,123,2,0,145
-4.2708597,1.617033,810,124,1,0,150
8.255655,5.862119,146,125,0,0,179
6.453487,9.50585,90,129,3,0,255
6.248315,9.724769,103,130,3,0,255
-6.3626657,-0.67322224,373,135,1,0,65
-5.8968396,-0.7481657,427,135,1,0,69
-3.9343235,1.9133365,528,135,1,0,73
-3.612483,1.8778287,225,136,1,0,84
-5.4059863,0.1484782,627,136,1,0,77
-3.809884,0.09628626,176,139,1,0,68
-3.665319,-0.69763947,475,139,1,0,69
6.907998,8.412278,780,140,3,0,185
6.506646,8.20008,835,140,3,0,228
-6.455842,0.33353567,887,140,1,0,90
-2.3074415,-1.4009176,321,141,1,0,75
-3.460228,1.7551938,575,141,1,0,83
-5.8467116,-0.40508988,940,141,1,0,87
-2.50489,-1.2446399,295,147,1,0,72
10.591964,-1.0703965,475,164,2,0,188
9.141232,-0.9585667,628,164,2,0,168
9.1364975,-1.4428252,322,165,2,0,153
9.206243,-2.1534474,680,165,2,0,159
10.929293,-0.7457378,729,165,2,0,180
10.248916,-1.1697868,65,166,2,0,171
11.612744,-2.6716607,373,166,2,0,163
9.923236,-2.151413,528,166,2,0,175
9.417173,0.6487562,577,166,2,0,164
9.589016,-0.37497905,169,167,2,0,151
10.1073065,-0.22186783,273,167,2,0,182
8.723207,-2.36643,425,167,2,0,144
9.120605,4.851416,832,168,0,0,173
8.956652,3.9618392,885,168,0,0,174
6.3260365,10.538818,114,169,3,0,255
9.466013,-0.5730772,218,169,2,0,159
9.06026,4.6364202,782,169,0,0,162
8.070867,4.4609184,936,169,0,0,155
-3.1757631,-0.6040756,598,176,1,0,90
-5.1388044,0.5042436,296,179,1,0,83
-3.7642689,1.8445063,144,180,1,0,88
-5.319452,-0.42387858,244,180,1,0,76
-7.087621,-0.20225239,346,180,1,0,81
-5.713615,0.4780986,451,180,1,0,84
-5.9735675,-0.867227,397,181,1,0,73
-4.408075,-0.17576364,752,181,1,0,86
-6.9695935,0.10993239,193,183,1,0,74
-5.204575,0.09756075,500,184,1,0,65
