0,1,x,y,cluster,label,gray
-4.2023067,-1.8265023,295,83,1,0,71
-3.971072,-1.3325733,501,83,1,0,67
-3.678778,0.12177565,858,83,1,0,73
-3.7338421,-1.6116154,141,84,1,0,86
-4.3058667,-1.801525,396,84,1,0,78
-3.993229,-0.83765125,601,84,1,0,78
-3.9060473,0.18752821,658,84,1,0,81
-4.11911,0.8670319,808,84,1,0,71
-3.3796196,-1.6112452,443,85,1,0,71
-6.598128,-1.3478513,346,86,1,0,67
-4.649547,1.3489437,912,86,1,0,86
-7.189361,-0.7045358,551,87,1,0,73
-4.529236,1.2929989,756,87,1,0,77
-7.1887794,-1.3554208,91,88,1,0,65
-4.975197,-1.0061251,243,88,1,0,70
5.736157,8.584018,193,90,3,0,209
8.328727,3.7990363,731,99,0,0,156
10.382844,-1.6850253,629,100,2,0,156
10.574251,-3.6205719,321,101,2,0,147
11.261591,-3.7148304,371,101,2,0,147
10.890653,-3.1979706,526,101,2,0,145
8.895995,4.236387,578,101,0,0,150
8.042772,5.068541,784,101,0,0,162
10.80545,-0.77574575,885,101,2,0,158
11.091691,-3.8828435,421,102,2,0,129
10.366918,-1.3082271,681,102,2,0,163
9.930343,1.2280363,833,102,2,0,167
8.004758,5.7649236,937,102,0,0,169
11.152265,-4.0452037,115,103,2,0,144
8.857793,5.9843574,168,103,0,0,148
10.788708,-3.4101257,270,103,2,0,140
8.573805,6.2097316,218,104,0,0,142
10.467384,-3.486605,474,104,2,0,140
11.54909,-3.1312757,65,105,2,0,120
-3.624341,-1.2966123,528,128,1,0,75
-3.8193028,-1.4130985,680,128,1,0,65
6.268211,7.0951333,731,128,3,0,149
-4.2858877,-1.9045016,478,130,1,0,66
6.1220937,7.0709333,834,130,3,0,132
-6.5499964,-1.5610712,372,131,1,0,79
-6.001188,-1.8876922,268,132,1,0,71
-6.8714695,-1.314338,320,132,1,0,68
5.8555646,8.434348,577,132,3,0,209
-7.253839,-0.5523488,630,132,1,0,74
-3.77401,0.32411155,935,132,1,0,77
-7.0422764,-0.28667593,169,134,1,0,66
5.897098,8.9756365,782,134,3,0,222
-5.80409,1.0435251,887,134,1,0,94
-6.210227,-0.74726343,115,135,1,0,73
-6.1375203,-1.4968958,423,135,1,0,66
-4.662745,-0.5644042,67,138,1,0,77
8.999783,2.8163548,708,145,0,0,151
10.581043,-3.9892154,245,146,2,0,138
9.070481,4.6537843,294,146,0,0,158
11.165166,-3.7408257,397,146,2,0,143
10.564266,-3.178599,449,146,2,0,149
7.4419346,5.4907017,550,146,0,0,152
8.57439,6.3481374,602,146,0,0,153
10.454344,-3.4553885,193,147,2,0,156
10.834179,-3.6485102,345,147,2,0,146
10.837252,-4.3306303,498,148,2,0,127
7.5842385,5.920432,758,148,0,0,159
7.583037,6.2645154,808,148,0,0,148
6.2967296,6.968703,861,148,3,0,155
10.425749,-0.8749397,913,148,2,0,172
10.467364,-1.457224,90,149,2,0,157
10.915007,-4.0181623,653,149,2,0,129
11.237405,-1.4987746,141,150,2,0,148
