0,1,x,y,cluster,label,gray
5.785481,4.0429826,925,65,1,0,255
5.5134535,8.50749,1579,74,2,0,211
7.0061817,9.946581,1086,76,2,0,226
6.576555,4.338517,1193,79,1,0,214
6.527752,4.141905,776,104,1,0,255
0.97540987,9.305525,1222,109,0,0,255
6.343672,9.105117,1066,128,2,0,217
5.746022,9.326705,101,135,2,0,227
5.9136276,9.990342,1014,142,2,0,220
4.4887815,9.659086,1107,162,2,0,255
5.691985,4.527644,587,186,1,0,255
5.2112775,9.104613,1822,188,2,0,204
4.4892836,9.670453,1766,203,2,0,226
5.97963,4.4016223,560,209,1,0,255
5.735764,4.226759,496,216,1,0,255
6.568384,4.089262,692,216,1,0,255
2.1365101,9.666838,1044,216,0,0,244
1.13028,9.423465,593,237,0,0,255
6.4178085,10.129417,1808,244,2,0,225
4.81652,8.5225115,1117,251,2,0,216
4.7153254,4.275452,535,256,1,0,255
6.686921,9.889463,1754,258,2,0,202
6.494739,4.072977,486,264,1,0,237
4.6914444,9.359412,1700,269,2,0,219
0.7432682,9.47588,925,279,0,0,255
6.425322,9.142193,1846,284,2,0,212
2.4537346,12.883915,152,294,0,0,227
6.1902995,4.0639586,525,300,1,0,255
5.4462676,3.908724,476,311,1,0,255
2.4388683,9.76488,1740,315,0,0,230
6.6342025,9.5061035,1834,336,2,0,214
4.5051064,8.337473,1634,338,2,0,211
4.9812064,9.807599,142,344,2,0,219
5.603669,9.365752,1780,350,2,0,220
6.970303,10.000255,910,351,2,0,227
5.6594243,10.480222,1229,356,2,0,235
4.8545322,8.583942,1726,365,2,0,227
-0.9579173,10.684834,182,376,0,0,255
4.7082005,8.5065155,1673,376,2,0,201
5.0579185,4.7787027,544,379,1,0,255
5.686665,8.7719145,892,400,2,0,207
4.3041368,9.950174,78,410,2,0,252
4.8686595,9.083783,841,412,2,0,210
4.4684296,8.429914,1354,420,2,0,210
6.774463,9.925818,1168,423,2,0,233
6.84416,9.392449,980,426,2,0,206
2.0829816,13.6184845,1749,443,0,0,255
6.805334,9.297899,1067,447,2,0,218
6.40867,9.446986,881,454,2,0,208
4.5697846,9.385749,1838,460,2,0,220
6.457964,9.227946,1015,463,2,0,211
6.2847357,8.978437,1106,488,2,0,202
4.5699606,9.418725,863,504,2,0,206
1.709041,10.1682205,1868,505,0,0,255
7.0383053,9.846667,901,547,2,0,219
5.9076095,3.846621,638,554,1,0,255
6.9630623,9.792178,1036,557,2,0,223
5.4988594,8.5570545,1299,563,2,0,235
5.5751414,4.3267016,1473,566,1,0,255
5.8882575,8.753126,982,573,2,0,206
6.643919,9.398706,1891,591,2,0,216
5.701332,4.060898,623,602,1,0,255
