0,1,x,y,cluster,label,gray
-0.7528716,10.976252,1668,67,0,0,252
0.9983394,13.226367,589,73,0,0,221
0.7096441,10.895797,1190,79,0,0,241
-0.19809642,12.196285,1617,81,0,0,255
0.09617824,10.296321,1694,83,0,0,203
-0.5566078,11.384459,1378,84,0,0,253
-0.5951444,11.282936,250,93,0,0,255
0.8109659,11.279607,909,95,0,0,207
0.8346295,11.068251,856,104,0,0,217
-0.8435234,10.839986,1704,108,0,0,255
-1.9895315,11.481259,1413,126,0,0,255
1.4439332,11.376315,754,135,0,0,214
-0.47858852,11.881661,1974,145,0,0,250
-1.4941266,12.144076,421,151,0,0,239
0.4438563,10.802927,236,153,0,0,216
-1.8610656,12.364122,1634,172,0,0,255
-2.0118263,11.693363,1582,184,0,0,253
-1.8483013,12.164892,1722,202,0,0,255
-0.61702526,11.749651,1907,207,0,0,255
-1.7743291,11.378782,357,212,0,0,251
-1.8443297,12.171778,1669,213,0,0,246
-1.8173634,11.943287,1431,216,0,0,247
0.582134,13.452608,1194,218,0,0,231
-0.4612073,12.103689,1854,218,0,0,240
-0.3987517,11.2199,305,221,0,0,246
1.6937551,12.839436,725,226,0,0,222
0.56153554,12.940838,491,230,0,0,231
-0.67011213,12.099472,252,234,0,0,253
2.0549252,12.827966,1329,236,0,0,210
-0.4450264,10.660652,394,252,0,0,204
1.7567303,13.054033,1177,270,0,0,216
-1.6523103,12.19675,425,294,0,0,216
-1.7639472,12.127741,1500,295,0,0,255
-0.27481943,13.708876,929,322,0,0,250
-0.3792801,13.778358,1586,325,0,0,253
0.1173917,13.93444,1298,336,0,0,241
-0.72711045,13.575823,1722,340,0,0,251
0.059464674,13.719759,914,375,0,0,240
0.70992446,13.325167,626,385,0,0,224
0.20040624,13.865783,1282,388,0,0,243
-0.117727906,13.89273,1469,392,0,0,255
-0.9361975,10.966384,339,397,0,0,237
-0.4988974,13.738298,1842,408,0,0,249
1.7773246,11.874175,1032,436,0,0,230
1.6483613,11.727542,1215,445,0,0,243
2.3128326,12.886946,748,455,0,0,208
-0.7191187,10.94827,1352,461,0,0,252
0.93882895,13.241316,365,489,0,0,220
-0.9621583,11.1758375,1673,493,0,0,255
0.9360297,13.677265,969,500,0,0,232
-1.5587009,10.422462,1575,512,0,0,255
1.6275153,11.638752,1285,524,0,0,243
5.1652384,4.857287,1971,535,1,0,244
6.2148323,8.484766,1685,549,2,0,203
-0.6684174,12.340584,1609,554,0,0,255
0.6883107,12.257032,335,588,0,0,209
2.3394892,12.884896,1172,595,0,0,209
0.38025066,13.435709,1357,601,0,0,238
0.2558003,12.6708145,181,618,0,0,248
0.59870005,13.332077,317,638,0,0,218
0.5009017,12.993486,80,639,0,0,255
-0.2569538,13.870323,1155,645,0,0,251
0.1715923,11.650541,1578,649,0,0,216
2.2077758,12.7628565,686,653,0,0,201
1.3147266,11.724282,1522,659,0,0,216
-0.13415618,11.143852,1190,680,0,0,244
-0.17198358,10.964703,1614,690,0,0,223
1.1623396,10.891953,1135,691,0,0,210
-1.6690397,12.57942,1696,717,0,0,240
1.3329998,13.665363,1459,719,0,0,237
0.016844258,12.445423,569,722,0,0,234
-0.1010058,12.635604,1884,724,0,0,248
-0.57436347,13.666941,1781,746,0,0,249
0.29217046,11.656197,373,766,0,0,230
2.0395708,12.438231,1159,783,0,0,216
0.43378395,12.799734,270,789,0,0,233
0.8920707,13.9675,1481,809,0,0,236
0.14412773,13.129611,1243,811,0,0,255
0.38350084,12.2807045,356,817,0,0,223
0.44310594,12.16938,540,822,0,0,209
6.6530967,4.5789413,1929,822,1,0,203
2.2799659,12.540312,1197,828,0,0,202
0.13541022,12.95502,909,832,0,0,246
1.5050914,13.630044,70,834,0,0,237
0.11701632,12.77181,1565,834,0,0,246
0.7394673,12.4069605,441,846,0,0,211
1.1814212,13.536399,1043,852,0,0,240
-1.3930591,12.053819,892,886,0,0,255
0.8587933,13.844114,1548,886,0,0,242
-1.047668,13.249728,1970,892,0,0,255
1.4254128,13.706342,186,898,0,0,238
-1.4874407,11.383439,693,924,0,0,244
0.16445613,13.7415285,1347,932,0,0,255
2.2080965,12.99665,593,948,0,0,206
5.024011,9.18165,1979,949,2,0,201
0.5611048,11.442598,538,958,0,0,203
-1.9729877,11.497479,729,967,0,0,236
-0.46351546,13.623158,1147,973,0,0,255
0.5206553,12.121229,914,974,0,0,227
0.20020802,13.797113,1467,997,0,0,248
-0.10560002,12.930173,1736,1031,0,0,252
1.2436808,12.042843,1078,1032,0,0,237
-1.9745808,11.629415,799,1047,0,0,255
1.9085649,13.64468,311,1098,0,0,223
-0.16753605,12.434748,1622,1101,0,0,244
-1.5627398,10.414904,1386,1110,0,0,255
-1.8734456,12.1996765,1804,1110,0,0,255
0.28741223,10.294179,1833,1119,0,0,203
0.30028352,10.2233715,1360,1127,0,0,201
-0.21016572,10.701096,819,1131,0,0,215
-0.22644976,12.933836,1467,1134,0,0,251
0.27677447,11.232324,994,1144,0,0,228
-0.7122403,11.540634,1842,1149,0,0,255
-0.67491686,11.338676,715,1151,0,0,255
-1.1276237,13.190293,1554,1163,0,0,255
1.556692,13.549838,196,1170,0,0,227
-0.7713892,11.216529,618,1171,0,0,253
1.5516617,11.528082,143,1180,0,0,243
-2.0108192,11.962526,803,1184,0,0,255
-0.50922287,11.376803,1450,1184,0,0,255
-0.15640251,13.185466,1639,1190,0,0,254
1.0272275,13.3765335,514,1192,0,0,230
1.6331487,12.064331,418,1210,0,0,209
1.2355579,13.323084,1203,1233,0,0,234
1.2633799,11.378685,315,1234,0,0,204
-1.3756998,10.212194,1569,1251,0,0,255
0.090554886,13.191312,1711,1269,0,0,239
0.03368235,13.249216,1894,1274,0,0,255
0.53432053,11.100959,485,1290,0,0,232
-0.40510404,12.914817,1137,1295,0,0,248
-0.12385035,13.808419,1877,1326,0,0,248
1.2748927,11.800565,1641,1330,0,0,227
0.76006037,10.838927,933,1334,0,0,220
-0.23179455,12.078678,1404,1334,0,0,236
2.085548,12.668276,706,1337,0,0,201
-0.42814586,12.531709,1441,1376,0,0,244
0.06738742,11.317276,503,1378,0,0,227
1.5728582,13.116022,269,1383,0,0,222
0.95426315,10.999785,1814,1384,0,0,218
-0.23402952,12.322569,1762,1396,0,0,255
0.96265036,11.179405,1054,1403,0,0,222
-0.45166525,12.802785,1526,1403,0,0,255
-1.8889778,12.397065,1949,1405,0,0,255
5.107318,9.297685,900,1407,2,0,202
0.6200918,12.246122,589,1408,0,0,227
1.0604982,10.9478855,357,1409,0,0,225
0.47489688,10.751543,908,1434,0,0,229
-0.16165887,10.525492,1378,1437,0,0,211
1.0800787,12.726294,1798,1438,0,0,220
1.7952962,13.755295,202,1442,0,0,229
-0.39345798,11.898928,1698,1458,0,0,255
2.071115,13.121505,759,1465,0,0,216
1.0962762,13.933033,289,1472,0,0,249
0.63427484,12.213928,707,1476,0,0,212
1.6617393,13.508271,187,1492,0,0,212
0.28415662,13.938178,1547,1493,0,0,251
-0.3001396,10.536059,843,1498,0,0,216
0.64612865,11.928434,604,1502,0,0,209
0.37936723,13.490209,1495,1505,0,0,255
-1.4408096,10.666952,794,1509,0,0,255
0.53969514,14.04465,1582,1533,0,0,249
1.3576694,11.328148,1249,1547,0,0,231
0.17859621,12.291587,356,1550,0,0,224
-0.125074,10.356154,991,1602,0,0,215
2.0090227,13.185041,1227,1603,0,0,225
1.1250374,11.088115,1418,1609,0,0,230
0.71401393,13.94678,1833,1615,0,0,250
1.4452381,11.65618,1598,1620,0,0,225
0.006868241,12.8505,1964,1631,0,0,247
-1.7389437,10.835629,878,1669,0,0,232
1.5223932,12.001303,1348,1670,0,0,220
0.42194617,12.057113,545,1694,0,0,208
1.9016448,13.588331,74,1701,0,0,220
-1.7092724,10.637618,629,1722,0,0,255
1.1580466,13.82561,1749,1724,0,0,221
-1.420022,10.26861,948,1738,0,0,255
-1.5880022,10.317543,944,1752,0,0,255
-1.6908634,10.480786,663,1759,0,0,255
1.7293909,13.701477,1553,1765,0,0,233
-0.5556864,12.209266,94,1789,0,0,227
4.483754,8.307679,1012,1799,2,0,202
1.7734808,13.735299,1401,1799,0,0,238
-1.7987305,10.817648,649,1813,0,0,237
1.876734,13.603644,1301,1817,0,0,233
-1.7282157,10.911564,597,1824,0,0,237
1.8445411,13.753252,1622,1845,0,0,240
1.477085,13.20603,1707,1870,0,0,233
-0.44618073,12.775895,1941,1871,0,0,236
-1.8077748,10.899714,951,1887,0,0,237
1.3461052,12.525324,1744,1912,0,0,242
-1.74883,10.695101,649,1957,0,0,234
